domain,season,metric,comparison,units,omitted_model,full_mean,leave_one_out_mean,full_sign,leave_one_out_sign,sign_changed,model_count
appalachian_interior,SON,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0820499,0.0168056,1,1,False,3
appalachian_interior,SON,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0820499,0.0349816,1,1,False,3
appalachian_interior,SON,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.2043075,-0.2899276,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.2043075,-0.1489670,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.2043075,-0.2185894,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.2043075,-0.1597460,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.2863574,-0.3706664,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.2863574,-0.3446407,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.2863574,-0.2353950,-1,-1,False,3
appalachian_interior,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.2863574,-0.1947276,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.4772328,-0.6039208,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.4772328,-0.4887921,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.4772328,-0.3281239,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.4772328,-0.4880946,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-2.4764652,-2.7239862,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-2.4764652,-2.5157688,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-2.4764652,-2.5498605,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-2.4764652,-2.1162454,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-1.9992324,-2.1200654,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-1.9992324,-2.0269767,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.9992324,-2.2217366,-1,-1,False,3
appalachian_interior,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-1.9992324,-1.6281508,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0050554,0.0201418,1,1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0050554,-0.0235171,1,-1,True,3
atlantic_southeast,ANN,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0050554,-0.0163896,1,-1,True,3
atlantic_southeast,ANN,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0050554,0.0399864,1,1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1429346,-0.2176875,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1429346,-0.1054004,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1429346,-0.1482570,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1429346,-0.1003935,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1479900,-0.2378293,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1479900,-0.0818832,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1479900,-0.1318674,-1,-1,False,3
atlantic_southeast,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1479900,-0.1403799,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.4208414,-0.5836536,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.4208414,-0.3662846,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.4208414,-0.2443619,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.4208414,-0.4890657,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-1.9959326,-2.1350254,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-1.9959326,-1.9134152,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.9959326,-2.1023154,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-1.9959326,-1.8329745,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-1.5750912,-1.5513718,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-1.5750912,-1.5471306,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.5750912,-1.8579535,-1,-1,False,3
atlantic_southeast,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-1.5750912,-1.3439088,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0088730,0.0342612,1,1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0088730,0.0170793,1,1,False,3
