model,variant_label,grid_label,comparison,season,metric,units,period,represented_area_km2,contributing_cells,equivalent_cells,value,domain
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.1960271,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.1700119,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.7533939,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.0609511,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.2692242,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.0962330,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-1.8157925,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.2283372,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.5629554,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,0.0032434,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.2534440,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844689.7732745,180,155.3238565,-0.3597482,original_box
UKESM1-0-LL,r1i1p1f2,gn,G6sulfur - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844689.7732745,180,155.3238565,-2.4795980,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.0441308,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-0.0333383,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.0327829,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,0.0626431,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.2100905,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-0.3784671,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0600854,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,0.2096899,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0149008,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-0.0560097,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0078761,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.6408402,southeast_land
