model,variant_label,grid_label,scenario,season,metric,units,period,calendar,represented_area_km2,contributing_cells,equivalent_cells,domain,value
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,5.1209676
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,21.8617231
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,25.2083840
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,66.0014704
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,JJA,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,37.2599153
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,14.7298958
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,10.1532491
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,28.4058200
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,4.7629348
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,83.2001138
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,38.1396038
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,73.2430638
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,MAM,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,32.6403119
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,26.8267381
