model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,SON,G6solar - G6sulfur,0.0125397,0.5840883,1.7370748,0.3171450,0.0072188,-3.5092297,2.8003272,30,0.5666667,0.4333333,0.0000000,0.1818165,-0.7541008,0.7133726,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,SON,G6solar - SSP5-8.5,-1.4569653,-1.7025751,1.4218662,0.2595961,-1.0246853,-3.7039522,1.1737025,30,0.2000000,0.8000000,0.0000000,0.2716823,-2.1235707,-0.8438824,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,SON,G6sulfur - SSP5-8.5,-1.4695050,-1.1859332,1.5885971,0.2900368,-0.9250331,-5.4768602,1.1695642,30,0.1333333,0.8666667,0.0000000,0.2904751,-2.1669392,-0.8340560,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,ANN,G6solar - G6sulfur,0.0597953,-0.0127257,0.3750983,0.0684833,0.1594124,-0.6835599,0.7804245,30,0.4666667,0.5333333,0.0000000,0.0168931,-0.0539971,0.1765311,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,ANN,G6solar - SSP5-8.5,0.0515959,0.0766518,0.3112216,0.0568210,0.1657850,-0.7114848,0.6917081,30,0.5333333,0.4666667,0.0000000,0.0925896,-0.0231228,0.1239427,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,-0.0081995,-0.0281759,0.3841521,0.0701363,-0.0213443,-0.7542889,0.8819600,30,0.4666667,0.5333333,0.0000000,-0.0595374,-0.0970305,0.0832802,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,DJF,G6solar - G6sulfur,0.0832534,0.1169447,0.7151092,0.1327924,0.1164206,-1.1676004,1.3450817,29,0.5862069,0.4137931,0.0000000,-0.0349202,-0.0799116,0.2398453,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,0.1105230,0.0443635,0.9082146,0.1686512,0.1216926,-1.5226698,1.8185067,29,0.5862069,0.4137931,0.0000000,0.0391111,-0.1824975,0.4695057,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,0.0272696,-0.0531850,0.8013457,0.1488062,0.0340298,-1.2196721,2.4691840,29,0.4827586,0.5172414,0.0000000,-0.1273736,-0.2479582,0.3708212,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,JJA,G6solar - G6sulfur,0.2193422,0.2642111,0.4919806,0.0898230,0.4458350,-0.7250233,1.1949652,30,0.6333333,0.3666667,0.0000000,-0.4240826,0.1053222,0.3423705,above_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,0.0800224,0.1033645,0.6594584,0.1204001,0.1213457,-1.3301085,1.5279954,30,0.6000000,0.4000000,0.0000000,0.0653199,-0.1574365,0.3061361,includes_zero,True,10000,5
