model,variant_label,grid_label,season,metric,comparison,value,units
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,r95ptot,G6sulfur - SSP5-8.5,-9.227193,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,r95ptot,G6solar - G6sulfur,3.698531,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,r95ptot,G6solar - SSP5-8.5,-8.196695,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,r95ptot,G6sulfur - SSP5-8.5,-11.895226,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx1day,G6solar - G6sulfur,3.209164,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx1day,G6solar - SSP5-8.5,-2.099807,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx1day,G6sulfur - SSP5-8.5,-5.308971,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx1day,G6solar - G6sulfur,4.540052,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx1day,G6solar - SSP5-8.5,-2.395833,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx1day,G6sulfur - SSP5-8.5,-6.935885,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx1day,G6solar - G6sulfur,0.060720,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx1day,G6solar - SSP5-8.5,-0.273888,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx1day,G6sulfur - SSP5-8.5,-0.334608,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx1day,G6solar - G6sulfur,1.615745,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx1day,G6solar - SSP5-8.5,-1.080724,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx1day,G6sulfur - SSP5-8.5,-2.696470,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx1day,G6solar - G6sulfur,2.045003,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx1day,G6solar - SSP5-8.5,-1.724244,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx1day,G6sulfur - SSP5-8.5,-3.769247,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx5day,G6solar - G6sulfur,0.319948,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx5day,G6solar - SSP5-8.5,-3.766021,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,rx5day,G6sulfur - SSP5-8.5,-4.085969,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx5day,G6solar - G6sulfur,2.713236,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx5day,G6solar - SSP5-8.5,-5.470537,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,rx5day,G6sulfur - SSP5-8.5,-8.183773,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx5day,G6solar - G6sulfur,-0.986930,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx5day,G6solar - SSP5-8.5,0.082360,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,rx5day,G6sulfur - SSP5-8.5,1.069290,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx5day,G6solar - G6sulfur,0.344725,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx5day,G6solar - SSP5-8.5,-2.663338,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,rx5day,G6sulfur - SSP5-8.5,-3.008062,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx5day,G6solar - G6sulfur,2.113206,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx5day,G6solar - SSP5-8.5,-2.218588,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,rx5day,G6sulfur - SSP5-8.5,-4.331794,mm
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,txx,G6solar - G6sulfur,-0.335221,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,txx,G6solar - SSP5-8.5,-1.986366,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,txx,G6sulfur - SSP5-8.5,-1.651145,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,txx,G6solar - G6sulfur,-0.985874,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,txx,G6solar - SSP5-8.5,-1.589002,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,txx,G6sulfur - SSP5-8.5,-0.603128,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,txx,G6solar - G6sulfur,-0.338474,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,txx,G6solar - SSP5-8.5,-2.024854,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,txx,G6sulfur - SSP5-8.5,-1.686380,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,txx,G6solar - G6sulfur,-0.516072,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,txx,G6solar - SSP5-8.5,-1.785690,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,txx,G6sulfur - SSP5-8.5,-1.269618,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,txx,G6solar - G6sulfur,-0.285679,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,txx,G6solar - SSP5-8.5,-1.633957,degC
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,txx,G6sulfur - SSP5-8.5,-1.348277,degC
