domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
atlantic_southeast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,-0.7594544,-1.3124311,1.1894170,-1.4337298,1.0207743,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.0388296,0.0739613,0.1988114,-0.2334396,0.2408356,4,3,1,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0092434,-0.0137965,0.1162607,-0.1256384,0.1162578,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0480730,0.0147024,0.1972699,-0.3294982,0.1078013,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.2569032,-0.2282903,0.1407842,-0.4511537,-0.1198785,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,-2.2169448,-2.1035972,0.5277232,-2.9300648,-1.7305202,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.9600416,-1.8180811,0.4967502,-2.6761416,-1.5278629,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.0702493,0.0535664,0.3412678,-0.5688336,0.1807037,4,2,2,0,0.5000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,-0.1313559,-0.0786708,0.4119090,-0.6807635,0.3126814,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0611067,-0.1620995,0.2592391,-0.2392038,0.3189762,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2449082,-0.3015598,0.4290101,-0.6233086,0.2467954,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
